pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
NA,additional-data section,precipitation-data,AA1-AA4,liquid precipitation,condition code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes whether a LIQUID-PRECIPITATION depth dimension was a trace value.,"A specific domain comprised of the characters in the ASCII character set. 1: Measurement impossible or inaccurate 2: Trace 3: Begin accumulated period (precipitation amount missing until end of accumulated period) 4: End accumulated period 5: Begin deleted period (precipitation amount missing due to data problem) 6: End deleted period 7: Begin missing period 8: End missing period E: Estimated data value (eg, from nearby station) I: Incomplete precipitation amount, excludes one or more missing reports, such as one or more 15-minute reports not included in the 1-hour precipitation total J: Incomplete precipitation amount, excludes one or more erroneous reports, such as one or more 1-hour precipitation amounts excluded from the 24-hour total 9: Missing","{""1"":""Measurement impossible or inaccurate"",""2"":""Trace"",""3"":""Begin accumulated period (precipitation amount missing until end of accumulated period)"",""4"":""End accumulated period"",""5"":""Begin deleted period (precipitation amount missing due to data problem)"",""6"":""End deleted period"",""7"":""Begin missing period"",""8"":""End missing period"",""E"":""Estimated data value (eg, from nearby station)"",""I"":""Incomplete precipitation amount, excludes one or more missing reports, such as one or more 15-minute reports not included in the 1-hour precipitation total"",""J"":""Incomplete precipitation amount, excludes one or more erroneous reports, such as one or more 1-hour precipitation amounts excluded from the 24-hour total"",""9"":""Missing""}"
NA,additional-data section,precipitation-data,AA1-AA4,liquid precipitation,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported LIQUID-PRECIPITATION data.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present A = Data value flagged as suspect, but accepted as good value I = Data value not originally in data, but inserted by validator M = Manual change made to value based on information provided by NWS or FAA P = Data value not originally flagged as suspect, but replaced by validator R = Data value replaced with value computed by NCEI software U = Data value replaced with edited value","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present"",""A"":""Data value flagged as suspect, but accepted as good value"",""I"":""Data value not originally in data, but inserted by validator"",""M"":""Manual change made to value based on information provided by NWS or FAA"",""P"":""Data value not originally flagged as suspect, but replaced by validator"",""R"":""Data value replaced with value computed by NCEI software"",""U"":""Data value replaced with edited value""}"
NA,additional-data section,precipitation-data,AB1,liquid precipitation monthly total,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that represents LIQUID-PRECIPITATION MONTHLY TOTAL data.,A specific domain comprised of the characters in the ASCII character set. AB1 An indicator of the following items: LIQUID-PRECIPITATION depth dimension LIQUID-PRECIPITATION condition code LIQUID-PRECIPITATION quality code,"{""items"":""LIQUID-PRECIPITATION depth dimension LIQUID-PRECIPITATION condition code LIQUID-PRECIPITATION quality code""}"
NA,additional-data section,precipitation-data,AB1,liquid precipitation monthly total,depth dimension,5,00000,0,50000,50000,millimeters,10,10,99999,99999,The depth of LIQUID-PRECIPITATION for the month.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
NA,additional-data section,precipitation-data,AB1,liquid precipitation monthly total,condition code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes whether a LIQUID-PRECIPITATION depth dimension was a trace value.,A specific domain comprised of the characters in the ASCII character set. 1: Measurement impossible or inaccurate 2: Trace 9: Missing 13,"{""1"":""Measurement impossible or inaccurate"",""2"":""Trace"",""9"":""Missing 13""}"
NA,additional-data section,precipitation-data,AB1,liquid precipitation monthly total,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported LIQUID-PRECIPITATION data.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present A = Data value flagged as suspect, but accepted as good value I = Data value not originally in data, but inserted by validator M = Manual change made to value based on information provided by NWS or FAA P = Data value not originally flagged as suspect, but replaced by validator R = Data value replaced with value computed by NCEI software U = Data value replaced with edited value","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present"",""A"":""Data value flagged as suspect, but accepted as good value"",""I"":""Data value not originally in data, but inserted by validator"",""M"":""Manual change made to value based on information provided by NWS or FAA"",""P"":""Data value not originally flagged as suspect, but replaced by validator"",""R"":""Data value replaced with value computed by NCEI software"",""U"":""Data value replaced with edited value""}"
NA,additional-data section,precipitation-data,AC1,precipitation observation history,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates the occurrence of precipitation history information.,A specific domain comprised of the characters in the ASCII character set. AC1 An indicator of the following items: PRECIPITATION-OBSERVATION-HISTORY duration code PRECIPITATION-OBSERVATION-HISTORY characteristic code PRECIPITATION-OBSERVATION-HISTORY quality code,"{""items"":""PRECIPITATION-OBSERVATION-HISTORY duration code PRECIPITATION-OBSERVATION-HISTORY characteristic code PRECIPITATION-OBSERVATION-HISTORY quality code""}"
NA,additional-data section,precipitation-data,AC1,precipitation observation history,duration code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes the duration of precipitation.,A specific domain comprised of the characters in the ASCII character set. 0 = Lasted less than 1 hour 1 = Lasted 1 - 3 hours 2 = Lasted 3 - 6 hours 3 = Lasted more than 6 hours 9 = Missing,"{""0"":""Lasted less than 1 hour"",""1"":""Lasted 1 - 3 hours"",""2"":""Lasted 3 - 6 hours"",""3"":""Lasted more than 6 hours"",""9"":""Missing""}"
NA,additional-data section,precipitation-data,AC1,precipitation observation history,characteristic code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes whether precipitation is continuous or intermittent.,A specific domain comprised of the characters in the ASCII character set. C = Continuous I = Intermittent 9 = Missing,"{""C"":""Continuous"",""I"":""Intermittent"",""9"":""Missing""}"
NA,additional-data section,precipitation-data,AC1,precipitation observation history,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported PRECIPITATION duration/characteristic.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Passed gross limits check if element is present A = Data value flagged as suspect, but accepted as good value I = Data value not originally in data, but inserted by validator M = Manual change made to value based on information provided by NWS or FAA P = Data value not originally flagged as suspect, but replaced by validator R = Data value replaced with value computed by NCEI software U = Data value replaced with edited value 14","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Passed gross limits check if element is present"",""A"":""Data value flagged as suspect, but accepted as good value"",""I"":""Data value not originally in data, but inserted by validator"",""M"":""Manual change made to value based on information provided by NWS or FAA"",""P"":""Data value not originally flagged as suspect, but replaced by validator"",""R"":""Data value replaced with value computed by NCEI software"",""U"":""Data value replaced with edited value 14""}"
NA,additional-data section,precipitation-data,AD1,liquid precipitation greatest amount in 24 hours for the month,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The identifier that represents LIQUID-PRECIPITATION, GREATEST IN 24 HOURS, data.",A specific domain comprised of the characters in the ASCII character set. AD1 An indicator of the following items: LIQUID-PRECIPITATION depth dimension LIQUID-PRECIPITATION condition code LIQUID-PRECIPITATION dates of occurrence (3 fields) LIQUID-PRECIPITATION quality code,"{""items"":""LIQUID-PRECIPITATION depth dimension LIQUID-PRECIPITATION condition code LIQUID-PRECIPITATION dates of occurrence (3 fields) LIQUID-PRECIPITATION quality code""}"
NA,additional-data section,precipitation-data,AD1,liquid precipitation greatest amount in 24 hours for the month,depth dimension,5,00000,0,20000,20000,millimeters,10,10,99999,99999,The depth of LIQUID-PRECIPITATION for the 24-hour period.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
